Sno,year,make,model,trim,body,transmission,condition,odometer,color,interior,seller,sellingprice,vehicle_type,oil_filter,engine_oil,washer_plug_drain,dust_and_pollen_filter,whell_alignment_and_balancing,air_clean_filter,fuel_filter,spark_plug,brake_fluid,brake_and_clutch_oil,transmission_fluid,brake_pads,clutch,coolant
90,2014,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,,3.6,8742,white,gray,"enterprise fleet management exchange, inc.",34000,car,1,1,1,0,0,0,0,0,0,0,0,1,0,1
91,2015,Kia,Sorento,LX,SUV,automatic,5,16348,gray,gray,"kia motors america, inc",20500,car,1,1,1,0,0,0,0,0,1,0,0,1,0,1
92,2015,Hyundai,Elantra,SE,Sedan,automatic,,9750,blue,gray,avis rac/san leandro,10000,car,1,1,1,0,0,0,0,0,1,0,1,1,0,1
93,2015,Hyundai,Elantra,SE,Sedan,automatic,3.5,3367,silver,gray,ag leaseplan,13200,car,1,1,1,0,0,0,0,0,1,0,1,1,0,1
94,2014,Acura,MDX,Advance and Entertainment Packages,SUV,automatic,4.9,21523,white,gray,onemain rem/m&m auto traders,41500,car,1,1,1,0,0,1,0,0,0,0,0,1,0,0
95,2015,Ford,Fusion,SE,Sedan,automatic,1,4205,white,black,enterprise vehicle exchange / tra / rental / tulsa,12000,car,1,1,1,0,0,1,0,0,0,0,0,1,0,0
96,2014,BMW,6 Series,650i,Convertible,automatic,3.7,8891,silver,black,the hertz corporation,67200,car,1,1,1,0,0,1,0,0,0,0,1,1,0,0
97,2014,Chevrolet,Cruze,2LT,Sedan,automatic,2,8154,silver,black,enterprise vehicle exchange / tra / rental / tulsa,10000,car,1,1,1,0,1,1,0,0,1,0,0,1,0,0
98,2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3.7,6726,black,black,repo remarketing/visterra credit union,30250,car,1,1,1,0,1,0,0,0,1,0,0,1,0,0
99,2014,Chevrolet,Cruze,2LT,Sedan,automatic,3.7,36771,silver,black,avis rac/san leandro,13600,car,1,1,1,0,0,0,0,1,0,0,1,1,0,0
100,2015,Kia,Sorento,LX,SUV,automatic,4.9,9552,burgundy,beige,"kia motors america, inc",21000,car,1,1,1,0,1,0,0,1,0,0,0,1,0,0
101,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1,10673,red,black,enterprise vehicle exchange / tra / rental / tulsa,3300,car,1,1,1,1,0,1,0,0,1,0,1,1,0,0
102,2015,Volvo,V60,T5,Wagon,automatic,3.7,14806,white,beige,volvo na rep/world omni,30000,car,1,1,1,1,0,1,0,0,1,0,1,1,0,0
103,2014,Chevrolet,Camaro,LS,Coupe,manual,4.4,7924,white,black,tdaf remarketing,18500,car,1,1,1,1,0,1,1,0,1,0,1,1,0,0
104,2015,Nissan,Altima,2.5 S,Sedan,automatic,1,12752,gray,black,enterprise vehicle exchange / tra / rental / tulsa,9500,car,1,1,1,1,0,1,1,0,1,0,1,1,0,0
105,2014,BMW,6 Series,650i,Convertible,automatic,3.8,19499,silver,—,the hertz corporation,62000,car,1,1,1,1,0,1,1,0,1,0,1,1,0,0
106,2015,Hyundai,Elantra,SE,Sedan,automatic,1,6759,blue,gray,enterprise vehicle exchange / tra / rental / tulsa,5800,car,1,1,1,1,0,1,1,0,1,0,1,1,0,0
107,2014,BMW,5 Series,535d,Sedan,automatic,4.8,12292,white,black,financial services remarketing (lease),46500,car,1,1,1,1,0,1,1,0,1,0,1,1,0,0
108,2014,BMW,6 Series,650i,Convertible,automatic,3.7,15727,white,black,the hertz corporation,65000,car,1,1,1,1,0,1,1,0,1,0,1,1,0,0
109,2015,Kia,Sorento,LX,SUV,automatic,4.9,13711,white,black,"kia motors america, inc",21750,car,1,1,1,1,0,1,1,0,1,0,1,1,0,0
110,2014,Cadillac,SRX,Luxury,SUV,automatic,4.4,8683,white,black,lease plan usa,30000,car,1,1,1,1,0,1,1,0,1,0,1,0,0,0
111,2014,BMW,X5,xDrive35i,SUV,automatic,5,4503,white,black,financial services remarketing (lease),57250,car,1,1,1,1,0,1,1,0,1,0,1,0,0,0
112,2015,Hyundai,Elantra,SE,Sedan,automatic,2,7800,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,9000,car,1,1,1,1,0,1,1,0,1,0,1,0,0,0
113,2014,Chevrolet,Cruze,1LT,Sedan,,2.8,40393,gray,black,avis corporation,11700,car,1,1,1,1,0,1,1,0,1,0,1,0,0,0
114,2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,4,9685,white,black,ars/acme auto leasing,30000,car,1,1,1,1,0,1,1,0,1,0,1,0,0,0
115,2015,Kia,Sorento,LX,SUV,automatic,5,10615,burgundy,black,"kia motors america, inc",20500,car,1,1,1,1,0,1,1,0,1,0,1,0,0,0
116,2015,Kia,Sorento,LX,SUV,automatic,4.8,13031,purple,black,"kia motors america, inc",20750,car,1,1,1,1,0,1,0,0,1,0,1,0,0,0
117,2014,Acura,ILX,Base,Sedan,automatic,4.1,12905,silver,gray,american honda motor company,20400,car,1,1,1,1,0,1,0,0,1,0,1,0,0,0
118,2015,Kia,Sorento,LX,SUV,automatic,4.8,16611,gray,black,"kia motors america, inc",20750,car,1,1,1,1,0,1,0,0,1,0,1,0,0,0
119,2015,Volvo,V60,T5,Wagon,automatic,4.1,12273,white,beige,volvo na rep/world omni,30000,car,1,1,1,1,0,1,0,0,1,0,1,0,0,0
120,2014,Chevrolet,Camaro,LT,Coupe,automatic,,11204,black,black,enterprise vehicle exchange / tra / rental / tulsa,10250,car,1,1,1,1,0,1,0,0,1,0,1,0,0,0
121,2014,Chevrolet,Cruze,2LT,Sedan,automatic,4.2,40560,gray,brown,avis corporation,12800,car,1,1,1,0,0,0,0,0,0,0,0,0,1,0
122,2015,Hyundai,Elantra,SE,Sedan,automatic,,5335,white,gray,enterprise vehicle exchange / tra / rental / tulsa,6600,car,1,1,1,0,0,0,0,0,0,0,0,0,1,0
123,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,4.5,14716,white,black,nissan infiniti lt,25000,car,1,1,1,0,1,0,0,0,0,0,0,0,1,0
124,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,4.6,68,black,black,nissan infiniti lt,27250,car,1,1,1,0,1,0,0,0,0,0,1,0,1,0
125,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,4.5,24112,white,black,nissan infiniti lt,22500,car,1,1,1,0,1,0,0,0,0,0,1,0,1,0
126,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,4.7,4859,black,black,nissan infiniti lt,26750,car,1,1,1,0,1,0,0,0,0,0,1,0,1,0
127,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,4.5,21126,black,beige,nissan infiniti lt,26500,car,1,1,1,0,1,0,0,0,0,0,0,0,1,0
128,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,4.2,26675,blue,black,nissan infiniti lt,23750,car,1,1,1,0,1,0,0,0,0,0,0,0,1,0
129,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,4.2,19978,white,black,nissan infiniti lt,24500,car,1,1,1,0,1,0,0,1,0,0,0,0,1,0
130,2013,Infiniti,FX,FX37,SUV,automatic,4.3,10532,black,black,nissan infiniti lt,32000,car,1,1,1,0,1,0,0,1,0,0,0,0,1,0
131,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,4.1,25859,blue,black,infiniti financial services,21750,car,1,1,1,0,1,0,0,1,0,0,0,0,1,0
132,2013,Hyundai,Santa Fe,Limited,SUV,automatic,5,14974,white,gray,hyundai buybacks,27000,car,1,1,1,0,0,0,0,1,0,0,0,0,1,0
133,2013,Hyundai,Genesis,5.0 R-Spec,Sedan,automatic,4.7,21463,gray,black,hyundai motor america/co car,27400,car,1,1,1,0,0,0,0,0,0,0,0,0,1,0
134,2013,Hyundai,Equus,Signature,Sedan,automatic,4.1,22961,gray,black,hyundai buybacks,25000,car,1,1,1,0,0,0,0,0,1,0,0,0,1,0
135,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,3.7,21144,—,black,nissan infiniti lt,24250,car,1,1,1,0,0,0,0,0,1,0,0,0,1,0
136,2013,Hyundai,Elantra,GLS,Sedan,automatic,2.6,56651,red,beige,hyundai motor finance,10700,car,1,1,1,0,0,1,0,0,1,0,0,0,1,0
137,2013,Hyundai,Santa Fe,Limited,SUV,automatic,5,11439,white,brown,hyundai motor america/co car,30800,car,1,1,1,0,0,1,0,0,1,0,0,0,1,0
138,2013,Hyundai,Elantra,GLS,Sedan,automatic,4.4,39935,silver,gray,enterprise vehicle exchange/orange,11000,car,1,1,1,0,0,1,0,0,0,0,0,0,1,0
139,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,4.1,20317,gray,black,nissan infiniti lt,26250,car,1,1,1,0,0,0,0,0,0,0,0,0,1,0
140,2013,Hyundai,Elantra,GLS,Sedan,automatic,2,37436,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,8800,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
141,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,3.5,26888,white,gray,nissan infiniti lt,23250,car,1,1,1,0,0,0,1,1,0,0,0,0,0,0
142,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,4.8,7815,white,black,nissan infiniti lt,27000,car,1,1,1,0,0,0,1,1,0,0,0,0,0,0
143,2013,Hyundai,Sonata,GLS,Sedan,automatic,4.3,54830,silver,gray,avis rac/san leandro,11500,car,1,1,1,0,0,0,1,1,0,0,0,0,0,0
144,2013,Hyundai,Elantra,GLS,Sedan,manual,4.9,2606,white,beige,hyundai motor america/co car,12300,car,1,1,1,0,0,0,1,1,0,0,0,0,0,0
145,2013,Hyundai,Sonata,GLS,Sedan,automatic,3.9,36416,blue,gray,enterprise vehicle exchange/orange,11400,car,1,1,1,0,0,0,1,1,0,0,0,0,0,0
146,2013,Hyundai,Elantra,GLS,Sedan,automatic,4.5,26412,black,beige,aaero sweet company,11750,car,1,1,1,0,0,0,1,1,0,0,0,0,0,0
147,2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,2.1,11099,silver,gray,hyundai motor america/co car,16500,car,1,1,1,0,0,0,1,1,0,0,0,0,0,0
148,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,4.5,11250,black,black,nissan infiniti lt,23500,car,1,1,1,1,0,0,1,1,0,0,0,0,0,0
149,2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,4.8,16386,white,gray,hyundai motor america/co car,18800,car,1,1,1,1,0,0,1,1,0,0,0,0,0,0
150,2013,Hyundai,Santa Fe,Sport,SUV,automatic,4.8,20663,gray,gray,hyundai motor america/co car,19200,car,1,1,1,0,0,0,1,1,0,0,0,0,0,0
151,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,4.3,16154,gray,black,nissan infiniti lt,22750,car,1,1,1,0,0,0,1,1,0,0,0,0,0,0
152,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,4.2,22405,gray,gray,nissan infiniti lt,23000,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
153,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,3.8,28172,silver,black,nissan infiniti lt,21000,car,1,1,1,1,0,0,0,0,0,0,0,0,0,0
